neighborhood,id,borough,type,lat,long,studio_2020,br_1_2020,br_2_2020,br_3_2020,studio_2021,br_1_2021,br_2_2021
Greenpoint,nyu_2451_34572.50,Brooklyn,Point,40.730201,-73.954241,2347,2812,3708,5278,2300,2400,2550
Greenridge,nyu_2451_34572.243,Staten Island,Point,40.555295,-74.170794,,,,,,,
Greenwich Village,nyu_2451_34572.118,Manhattan,Point,40.726933,-73.999914,2828,4116,8000,12418,2100,3495,4500
Greenwood Heights,MJB.10,Brooklyn,Point,40.657649,-73.997425,,,,,2012,1900,2100
Grymes Hill,nyu_2451_34572.203,Staten Island,Point,40.624185,-74.087248,,,,,,1500,
Hamilton Heights,nyu_2451_34572.104,Manhattan,Point,40.823604,-73.949688,1992,2118,2589,3174,,,
Hammels,nyu_2451_34572.303,Queens,Point,40.587338,-73.80553,,,,,,,
Hell's Kitchen,MJB.11,Manhattan,Point,40.762535,-73.993621,,,,,1600,2742,3900
Heartland Village,nyu_2451_34572.244,Staten Island,Point,40.589139,-74.159022,,,,,,,
Highbridge,nyu_2451_34572.20,Bronx,Point,40.836623,-73.926102,,,,,1350,1725,1900
Highland Park,nyu_2451_34572.296,Brooklyn,Point,40.681999,-73.890346,,,,,,,
